,family.hmm,hmm.length,query.id,query.length,e.val,hmm.start,hmm.end,query.start,query.end,coverage,Species,Group,NewSeqName,Class
1,AA12,401,Phatr3_J47795.p1,479,3.7e-66,11,395,14,399,0.957605985037406,Phaeodactylum_tricornutum,Diatom,AA12_Phatr3_J47795.p1,Diatom
2,AA2,255,Phatr3_EG02288.p1,399,7.9e-61,17,250,26,259,0.913725490196078,Phaeodactylum_tricornutum,Diatom,AA2_Phatr3_EG02288.p1,Diatom
3,AA2,255,Phatr3_J13244.p1,357,2.6e-51,7,254,92,348,0.968627450980392,Phaeodactylum_tricornutum,Diatom,AA2_Phatr3_J13244.p1,Diatom
4,AA2,255,Phatr3_J18572.p1,774,3.1e-16,8,118,105,217,0.431372549019608,Phaeodactylum_tricornutum,Diatom,AA2_Phatr3_J18572.p1,Diatom
5,AA2,255,Phatr3_J18572.p1,774,1.5e-10,18,253,498,769,0.92156862745098,Phaeodactylum_tricornutum,Diatom,AA2_Phatr3_J18572.p1,Diatom
6,AA2,255,Phatr3_J46616.p1,327,3.4e-34,8,250,51,317,0.949019607843137,Phaeodactylum_tricornutum,Diatom,AA2_Phatr3_J46616.p1,Diatom
7,AA2,255,Phatr3_J47395.p1,331,9e-46,15,254,51,325,0.937254901960784,Phaeodactylum_tricornutum,Diatom,AA2_Phatr3_J47395.p1,Diatom
8,AA2,255,Phatr3_J48278.p1,428,9.9e-16,20,152,105,245,0.517647058823529,Phaeodactylum_tricornutum,Diatom,AA2_Phatr3_J48278.p1,Diatom
9,AA2,255,Phatr3_J48286.p1,428,9.9e-16,20,152,105,245,0.517647058823529,Phaeodactylum_tricornutum,Diatom,AA2_Phatr3_J48286.p1,Diatom
10,AA2,255,Phatr3_J54731.p1,302,2.3e-44,19,254,22,292,0.92156862745098,Phaeodactylum_tricornutum,Diatom,AA2_Phatr3_J54731.p1,Diatom
11,AA2,255,Phatr3_draftJ1023.p1,321,1.8e-60,6,253,50,308,0.968627450980392,Phaeodactylum_tricornutum,Diatom,AA2_Phatr3_draftJ1023.p1,Diatom
12,AA2,255,Phatr3_draftJ1645.p1,510,2.5e-23,22,253,108,404,0.905882352941176,Phaeodactylum_tricornutum,Diatom,AA2_Phatr3_draftJ1645.p1,Diatom
13,AA3,618,Phatr3_J1341.p1,613,3.2e-79,79,399,14,588,0.517799352750809,Phaeodactylum_tricornutum,Diatom,AA3_Phatr3_J1341.p1,Diatom
14,AA3,618,Phatr3_J34413.p1,595,1.5e-42,83,405,10,588,0.521035598705502,Phaeodactylum_tricornutum,Diatom,AA3_Phatr3_J34413.p1,Diatom
15,AA3,618,Phatr3_J43604.p1,548,7e-78,85,401,16,525,0.511326860841424,Phaeodactylum_tricornutum,Diatom,AA3_Phatr3_J43604.p1,Diatom
16,AA3,618,Phatr3_J46493.p1,812,5.5e-64,88,406,144,806,0.514563106796116,Phaeodactylum_tricornutum,Diatom,AA3_Phatr3_J46493.p1,Diatom
17,AA3,618,Phatr3_J48204.p1,786,1.7e-46,87,406,197,704,0.516181229773463,Phaeodactylum_tricornutum,Diatom,AA3_Phatr3_J48204.p1,Diatom
18,AA4,522,Phatr3_J20192.p1,507,3.6e-16,22,192,49,217,0.325670498084291,Phaeodactylum_tricornutum,Diatom,AA4_Phatr3_J20192.p1,Diatom
19,AA5,1281,Phatr3_EG02229.p1,2854,1.3e-144,550,1106,741,1344,0.434035909445745,Phaeodactylum_tricornutum,Diatom,AA5_Phatr3_EG02229.p1,Diatom
20,AA5,1281,Phatr3_J48282.p1,2089,1.1e-145,550,1106,452,1302,0.434035909445745,Phaeodactylum_tricornutum,Diatom,AA5_Phatr3_J48282.p1,Diatom
21,AA6,195,Phatr3_J15393.p1,198,6.7e-74,1,195,3,196,0.994871794871795,Phaeodactylum_tricornutum,Diatom,AA6_Phatr3_J15393.p1,Diatom
22,AA7,458,Phatr3_EG02562.p1,579,2.4e-18,13,195,147,344,0.397379912663755,Phaeodactylum_tricornutum,Diatom,AA7_Phatr3_EG02562.p1,Diatom
