,cazyFam,sequence,species,group,newSeqName,class,NewNames
1,GT32,ACI64073,Thalassiosira_pseudonana,Diatom,GT32_ACI64073,Diatom,GT32_ACI64073_Thalassiosira_pseudonana
2,GT32,ACI64105,Thalassiosira_pseudonana,Diatom,GT32_ACI64105,Diatom,GT32_ACI64105_Thalassiosira_pseudonana
3,GT32,ACI64119,Thalassiosira_pseudonana,Diatom,GT32_ACI64119,Diatom,GT32_ACI64119_Thalassiosira_pseudonana
4,GH55,ACI64129,Thalassiosira_pseudonana,Diatom,GH55_ACI64129,Diatom,GH55_ACI64129_Thalassiosira_pseudonana
5,CBM18,ACI64141,Thalassiosira_pseudonana,Diatom,CBM18_ACI64141,Diatom,CBM18_ACI64141_Thalassiosira_pseudonana
6,CBM18,ACI64141,Thalassiosira_pseudonana,Diatom,CBM18_ACI64141,Diatom,CBM18_ACI64141_Thalassiosira_pseudonana
7,CBM18,ACI64141,Thalassiosira_pseudonana,Diatom,CBM18_ACI64141,Diatom,CBM18_ACI64141_Thalassiosira_pseudonana
8,CE10,ACI64149,Thalassiosira_pseudonana,Diatom,CE10_ACI64149,Diatom,CE10_ACI64149_Thalassiosira_pseudonana
9,GT10,ACI64153,Thalassiosira_pseudonana,Diatom,GT10_ACI64153,Diatom,GT10_ACI64153_Thalassiosira_pseudonana
10,CBM18,ACI64154,Thalassiosira_pseudonana,Diatom,CBM18_ACI64154,Diatom,CBM18_ACI64154_Thalassiosira_pseudonana
11,CBM18,ACI64154,Thalassiosira_pseudonana,Diatom,CBM18_ACI64154,Diatom,CBM18_ACI64154_Thalassiosira_pseudonana
12,CBM18,ACI64154,Thalassiosira_pseudonana,Diatom,CBM18_ACI64154,Diatom,CBM18_ACI64154_Thalassiosira_pseudonana
13,GT31,ACI64226,Thalassiosira_pseudonana,Diatom,GT31_ACI64226,Diatom,GT31_ACI64226_Thalassiosira_pseudonana
14,GT15,ACI64260,Thalassiosira_pseudonana,Diatom,GT15_ACI64260,Diatom,GT15_ACI64260_Thalassiosira_pseudonana
15,CBM14,ACI64355,Thalassiosira_pseudonana,Diatom,CBM14_ACI64355,Diatom,CBM14_ACI64355_Thalassiosira_pseudonana
16,CBM14,ACI64384,Thalassiosira_pseudonana,Diatom,CBM14_ACI64384,Diatom,CBM14_ACI64384_Thalassiosira_pseudonana
17,GH18,ACI64384,Thalassiosira_pseudonana,Diatom,GH18_ACI64384,Diatom,GH18_ACI64384_Thalassiosira_pseudonana
18,GT31,ACI64399,Thalassiosira_pseudonana,Diatom,GT31_ACI64399,Diatom,GT31_ACI64399_Thalassiosira_pseudonana
19,GH16,ACI64469,Thalassiosira_pseudonana,Diatom,GH16_ACI64469,Diatom,GH16_ACI64469_Thalassiosira_pseudonana
20,CBM73,ACI64482,Thalassiosira_pseudonana,Diatom,CBM73_ACI64482,Diatom,CBM73_ACI64482_Thalassiosira_pseudonana
21,CBM73,ACI64504,Thalassiosira_pseudonana,Diatom,CBM73_ACI64504,Diatom,CBM73_ACI64504_Thalassiosira_pseudonana
22,GH19,ACI64550,Thalassiosira_pseudonana,Diatom,GH19_ACI64550,Diatom,GH19_ACI64550_Thalassiosira_pseudonana
23,GT28,ACI64582,Thalassiosira_pseudonana,Diatom,GT28_ACI64582,Diatom,GT28_ACI64582_Thalassiosira_pseudonana
24,AA2,ACI64585,Thalassiosira_pseudonana,Diatom,AA2_ACI64585,Diatom,AA2_ACI64585_Thalassiosira_pseudonana
25,GH128,ACI64597,Thalassiosira_pseudonana,Diatom,GH128_ACI64597,Diatom,GH128_ACI64597_Thalassiosira_pseudonana
26,CBM14,ACI64607,Thalassiosira_pseudonana,Diatom,CBM14_ACI64607,Diatom,CBM14_ACI64607_Thalassiosira_pseudonana
27,CBM14,ACI64607,Thalassiosira_pseudonana,Diatom,CBM14_ACI64607,Diatom,CBM14_ACI64607_Thalassiosira_pseudonana
28,CBM14,ACI64607,Thalassiosira_pseudonana,Diatom,CBM14_ACI64607,Diatom,CBM14_ACI64607_Thalassiosira_pseudonana
29,CBM14,ACI64607,Thalassiosira_pseudonana,Diatom,CBM14_ACI64607,Diatom,CBM14_ACI64607_Thalassiosira_pseudonana
30,GT2,ACI64712,Thalassiosira_pseudonana,Diatom,GT2_ACI64712,Diatom,GT2_ACI64712_Thalassiosira_pseudonana
31,GH38,ACI64715,Thalassiosira_pseudonana,Diatom,GH38_ACI64715,Diatom,GH38_ACI64715_Thalassiosira_pseudonana
32,CBM22,ACI64725,Thalassiosira_pseudonana,Diatom,CBM22_ACI64725,Diatom,CBM22_ACI64725_Thalassiosira_pseudonana
33,AA2,ACI64771,Thalassiosira_pseudonana,Diatom,AA2_ACI64771,Diatom,AA2_ACI64771_Thalassiosira_pseudonana
34,GH19,ACI64798,Thalassiosira_pseudonana,Diatom,GH19_ACI64798,Diatom,GH19_ACI64798_Thalassiosira_pseudonana
35,CBM14,ACI64799,Thalassiosira_pseudonana,Diatom,CBM14_ACI64799,Diatom,CBM14_ACI64799_Thalassiosira_pseudonana
36,GH18,ACI64799,Thalassiosira_pseudonana,Diatom,GH18_ACI64799,Diatom,GH18_ACI64799_Thalassiosira_pseudonana
37,GT4,ACI64823,Thalassiosira_pseudonana,Diatom,GT4_ACI64823,Diatom,GT4_ACI64823_Thalassiosira_pseudonana
38,GH31,ACI64826,Thalassiosira_pseudonana,Diatom,GH31_ACI64826,Diatom,GH31_ACI64826_Thalassiosira_pseudonana
