Table S9. Functional annotation and RPKM values for all libraries.,,,,,,,,,
Locus,Functional Annotation,Hypoxia,At Infection,YEB+Pilch,Mefenoxam T,Mefenoxam C,Temp 0C,Temp 35C,Temp Room
PYU1_G000001,Similar to PARA: Paramyosin (Anisakis simplex),0.38056,2.768016,0.728871,0.311428,1.159743,0.33515,1.08669,0.510891
PYU1_G000002,Similar to yrbE: Uncharacterized oxidoreductase yrbE (Bacillus subtilis),55.31891,149.457266,68.334242,65.605135,84.838204,80.234223,95.664682,100.190332
PYU1_G000003,Similar to SURF2: Surfeit locus protein 2 (Homo sapiens),28.132008,5.953828,17.297917,17.154655,12.395781,7.068141,63.513625,11.328902
PYU1_G000004,Similar to NCAPD2: Condensin complex subunit 1 (Homo sapiens),4.017643,6.333122,5.274582,8.28523,6.83244,5.64786,4.288658,4.622947
PYU1_G000005,candidate bifunctional a%2Ca-trehalose-6-phosphate synthase / trehalose-6-phospate phosphatase,70.293845,23.216742,36.125311,27.236559,22.313332,12.309008,117.262914,30.140426
PYU1_G000006,Similar to yrbE: Uncharacterized oxidoreductase yrbE (Bacillus subtilis),54.073441,127.196109,65.119644,63.543052,81.295588,75.578722,91.301514,89.172342
PYU1_G000007,Similar to RPN11: 26S proteasome non-ATPase regulatory subunit 14 (Arabidopsis thaliana),88.188531,70.224708,161.669513,155.872941,140.740256,145.010864,110.017688,161.170078
PYU1_G000008,Similar to C9orf41: UPF0586 protein C9orf41 (Homo sapiens),14.196779,38.702163,18.344695,17.398686,20.221292,20.022585,13.513318,20.358422
PYU1_G000009,Similar to LSM5: U6 snRNA-associated Sm-like protein LSm5 (Bos taurus),24.506588,26.195948,33.21535,51.338917,38.517884,32.659399,22.596524,18.762271
PYU1_G000010,Similar to Mrpl54: 39S ribosomal protein L54%2C mitochondrial (Mus musculus),47.037354,15.154357,74.403819,38.536942,68.985484,40.838645,20.463464,67.124256
PYU1_G000011,Protein of unknown function,8.377308,7.533877,11.148863,10.645894,10.995026,4.93128,6.738632,9.077645
PYU1_G000012,Similar to Glod5: Glyoxalase domain-containing protein 5 (Mus musculus),39.138259,51.265243,79.894469,146.558077,63.581871,21.843301,48.690757,29.374398
PYU1_G000013,Similar to panB: 3-methyl-2-oxobutanoate hydroxymethyltransferase (Moorella thermoacetica (strain ATCC 39073)),18.34763,28.87534,35.027433,69.289841,21.636188,33.620227,16.086664,27.678932
PYU1_G000014,Similar to si:dkey-29f10.1: Protein C10 (Danio rerio),0.574669,1.347822,0.136271,0,0.180629,0.092886,0.795291,0.139486
PYU1_G000015,Similar to sti1: Heat shock protein sti1 homolog (Schizosaccharomyces pombe),1.249142,1.475813,0.269281,0.378044,0.562172,0.224848,2.453256,0.183755
PYU1_G000016,Similar to pfd-6: Probable prefoldin subunit 6 (Caenorhabditis briggsae),30.707765,49.683427,59.050522,67.230289,70.3262,61.611588,27.467797,48.617379
PYU1_G000017,Protein of unknown function,3.058465,2.259006,2.078871,2.283445,2.976209,3.058366,3.187125,2.525911
PYU1_G000018,Similar to At5g43530: Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 3 (Arabidopsis thaliana),1.900664,4.301126,2.681568,4.612626,3.261414,1.989067,2.615609,3.05558
PYU1_G000019,Similar to Calsequestrin-1 (Rana esculenta),13.088782,33.474157,14.844286,21.038652,17.081035,13.40574,19.862331,19.315583
PYU1_G000020,Similar to lrrc40: Leucine-rich repeat-containing protein 40 (Xenopus tropicalis),1.381294,0.651298,1.307214,1.779586,0.945122,1.903572,1.635075,0.892031
PYU1_G000021,Similar to Tsg101: Tumor susceptibility gene 101 protein (Rattus norvegicus),18.44314,12.150607,8.617939,27.814687,16.463698,14.838141,10.690521,4.313444
PYU1_G000022,Similar to CLCN7: Chloride channel protein 7 (Homo sapiens),53.649242,46.282214,127.989818,59.231388,71.913508,45.533312,50.974555,116.119426
PYU1_G000023,Protein of unknown function,0,0,0,1.14448,0.486258,0.375079,4.854471,0.500666
PYU1_G000024,Protein of unknown function,7.422441,8.056103,4.580829,4.143482,6.058347,2.570585,4.349975,3.912642
