,family.hmm,hmm.length,query.id,query.length,e.val,hmm.start,hmm.end,query.start,query.end,coverage,Species
1,CBM21,107,PYU1_T005443,286,4.1e-08,3,89,23,101,0.803738317757009,Pythium_ultimum_var_ultimum
2,CBM21,107,PYU1_T005445,607,1.3e-14,3,107,23,121,0.97196261682243,Pythium_ultimum_var_ultimum
3,CBM21,107,YER054C,549,8.3e-31,16,107,436,533,0.850467289719626,Saccharomyces_cerevisiae_S288C
4,CBM21,107,YIL045W,539,1.2e-30,3,107,390,507,0.97196261682243,Saccharomyces_cerevisiae_S288C
5,CBM21,107,YLR273C,649,3.1e-26,4,107,208,330,0.962616822429907,Saccharomyces_cerevisiae_S288C
6,CBM21,107,YOR178C,794,8.4e-31,3,106,241,358,0.962616822429907,Saccharomyces_cerevisiae_S288C
7,CBM21,107,maker-pir_contig_1668-fgenesh-gene-0.0-mRNA-1,149,1.8e-15,3,107,23,121,0.97196261682243,Pythium_irregulare
8,CBM21,107,maker-pir_contig_5083-fgenesh-gene-0.0-mRNA-1,153,4e-15,3,107,23,121,0.97196261682243,Pythium_irregulare
9,CBM21,107,maker-piw_contig_2111-fgenesh-gene-0.0-mRNA-1,610,3e-15,4,107,24,121,0.962616822429907,Pythium_iwayamai
10,CBM21,107,maker-pug3_contig_4988-snap-gene-0.1-mRNA-1,187,3.8e-15,3,107,23,121,0.97196261682243,Pythium_ultimum_var_sporangiiferum
11,GH131,255,EGZ27216,289,2.5e-24,35,244,60,258,0.819607843137255,Phytophthora_sojae
12,GH131,255,EGZ27220,327,2.1e-24,35,251,51,256,0.847058823529412,Phytophthora_sojae
13,GH131,255,EGZ27221,259,3.8e-20,13,253,26,253,0.941176470588235,Phytophthora_sojae
14,GH131,255,EGZ27222,275,5.5e-12,58,248,65,242,0.745098039215686,Phytophthora_sojae
15,GH131,255,EGZ27224,365,2.3e-24,3,246,33,256,0.952941176470588,Phytophthora_sojae
16,GH131,255,ETI50878,327,1.4e-24,35,252,60,266,0.850980392156863,Phytophthora_parasitica
17,GH131,255,ETI50926,301,6e-16,35,241,60,254,0.807843137254902,Phytophthora_parasitica
18,GH131,255,ETI50942,370,2e-24,44,246,70,255,0.792156862745098,Phytophthora_parasitica
19,GH131,255,ETI50987,271,2.5e-07,37,133,58,146,0.376470588235294,Phytophthora_parasitica
20,GH131,255,ETI56583,263,2.7e-24,35,243,60,257,0.815686274509804,Phytophthora_parasitica
21,GH131,255,HpaP808934,383,1.3e-25,33,247,60,257,0.83921568627451,Hyaloperonospora_arabidopsis
22,GH131,255,HpaP808936,303,3.1e-21,34,253,60,268,0.858823529411765,Hyaloperonospora_arabidopsis
23,GH131,255,HpaP808946,326,2.2e-22,3,245,22,249,0.949019607843137,Hyaloperonospora_arabidopsis
24,GH131,255,KUF64343,296,5e-18,37,252,58,265,0.843137254901961,Phytophthora_nicotianae
25,GH131,255,KUF64366,359,1.8e-24,43,246,58,244,0.796078431372549,Phytophthora_nicotianae
26,GH131,255,KUF75648,327,1.4e-24,35,252,60,266,0.850980392156863,Phytophthora_nicotianae
27,GH131,255,KUF81061,263,2.3e-24,35,243,60,257,0.815686274509804,Phytophthora_nicotianae
28,GH131,255,KUF82603,301,9.1e-16,35,241,60,254,0.807843137254902,Phytophthora_nicotianae
29,GH131,255,KUF85409,327,1.4e-24,35,252,60,266,0.850980392156863,Phytophthora_nicotianae
30,GH131,255,PITG_01131T0,329,8.8e-24,35,253,62,269,0.854901960784314,Phytophthora_infestans
31,GH131,255,PITG_01132T0,306,2.2e-23,35,247,62,263,0.831372549019608,Phytophthora_infestans
32,GH131,255,PITG_01133T0,373,9e-25,44,246,70,255,0.792156862745098,Phytophthora_infestans
33,GH131,255,PITG_01625T0,187,6.7e-17,35,179,51,179,0.564705882352941,Phytophthora_infestans
34,GH131,255,PITG_16135T0,329,3.4e-24,35,253,62,269,0.854901960784314,Phytophthora_infestans
35,GH131,255,PITG_17285T0,279,5e-10,158,253,119,219,0.372549019607843,Phytophthora_infestans
36,GH131,255,PITG_22133T0,161,3.3e-10,161,253,4,101,0.36078431372549,Phytophthora_infestans
37,GH131,255,PYU1_T001944,167,1.8e-11,49,133,74,150,0.329411764705882,Pythium_ultimum_var_ultimum
38,GH131,255,PYU1_T001945,242,7.2e-23,40,222,63,233,0.713725490196078,Pythium_ultimum_var_ultimum
39,GH131,255,PYU1_T001949,223,6.7e-19,45,224,51,214,0.701960784313725,Pythium_ultimum_var_ultimum
40,GH131,255,Phyra84053,321,8.1e-25,35,251,60,265,0.847058823529412,Phytophthora_ramorum
41,GH131,255,Phyra84054,299,6.4e-18,23,247,47,260,0.87843137254902,Phytophthora_ramorum
42,GH131,255,Phyra84055,401,5.5e-23,50,246,76,256,0.768627450980392,Phytophthora_ramorum
43,GH131,255,Phyra84066,292,1.4e-16,3,252,30,265,0.976470588235294,Phytophthora_ramorum
44,GH131,255,maker-pag1_scaffold_276-fgenesh-gene-0.1-mRNA-1,331,7.4e-28,29,247,52,251,0.854901960784314,Pythium_aphanidermatum
45,GH131,255,maker-pag1_scaffold_590-fgenesh-gene-0.5-mRNA-1,284,1.5e-20,36,247,61,258,0.827450980392157,Pythium_aphanidermatum
46,GH131,255,maker-par_contig_2218-fgenesh-gene-0.1-mRNA-1,252,8.9e-23,47,245,72,248,0.776470588235294,Pythium_arrhenomanes
47,GH131,255,maker-pir_contig_689-fgenesh-gene-0.1-mRNA-1,312,1.5e-23,40,247,18,209,0.811764705882353,Pythium_irregulare
48,GH131,255,maker-pir_contig_689-fgenesh-gene-0.2-mRNA-1,301,2.2e-25,36,247,61,260,0.827450980392157,Pythium_irregulare
49,GH131,255,maker-piw_contig_575-fgenesh-gene-0.1-mRNA-1,221,5.1e-25,37,247,9,207,0.823529411764706,Pythium_iwayamai
50,GH131,255,maker-pve_contig_750-fgenesh-gene-0.1-mRNA-1,307,8.2e-24,55,246,76,250,0.749019607843137,Pythium_vexans
51,GH131,255,maker-pve_contig_750-fgenesh-gene-0.2-mRNA-1,328,5.1e-22,40,250,66,265,0.823529411764706,Pythium_vexans
52,GH131,255,snap_masked-pug3_contig_2060-abinit-gene-0.6-mRNA-1,301,2.2e-23,40,251,63,262,0.827450980392157,Pythium_ultimum_var_sporangiiferum
53,GH15,361,EAL69024,633,1.1e-64,2,360,253,618,0.991689750692521,Dictyostelium_discoideum
54,GH15,361,EAL69407,648,4.4e-45,4,360,278,637,0.986149584487535,Dictyostelium_discoideum
55,GH15,361,PYU1_T005443,286,4e-25,242,359,98,272,0.32409972299169,Pythium_ultimum_var_ultimum
56,GH15,361,PYU1_T005444,447,3.1e-62,15,359,26,433,0.952908587257618,Pythium_ultimum_var_ultimum
57,GH15,361,PYU1_T005445,607,2.9e-63,16,359,189,595,0.950138504155125,Pythium_ultimum_var_ultimum
58,GH15,361,YIL099W,550,1.7e-81,17,356,108,535,0.939058171745152,Saccharomyces_cerevisiae_S288C
59,GH15,361,maker-pag1_scaffold_313-snap-gene-0.9-mRNA-1,484,8.1e-62,16,358,66,471,0.947368421052632,Pythium_aphanidermatum
60,GH15,361,maker-pag1_scaffold_790-snap-gene-0.9-mRNA-1,459,2.1e-63,13,358,38,446,0.955678670360111,Pythium_aphanidermatum
61,GH15,361,maker-par_contig_3614-snap-gene-0.1-mRNA-1,710,9.7e-33,153,359,436,698,0.570637119113573,Pythium_arrhenomanes
62,GH15,361,maker-pir_contig_3938-fgenesh-gene-0.0-mRNA-1,369,2.8e-53,51,351,3,369,0.831024930747922,Pythium_irregulare
63,GH15,361,maker-piw_contig_2111-fgenesh-gene-0.0-mRNA-1,610,2.1e-61,13,358,189,597,0.955678670360111,Pythium_iwayamai
64,GH15,361,maker-pug3_contig_1935-snap-gene-0.1-mRNA-1,390,2.7e-54,52,359,4,378,0.850415512465374,Pythium_ultimum_var_sporangiiferum
65,GH15,361,maker-pug3_contig_5109-snap-gene-0.1-mRNA-1,166,9.9e-26,74,211,11,155,0.379501385041551,Pythium_ultimum_var_sporangiiferum
66,GH16,189,ACI64469,243,2.1e-52,2,189,4,242,0.989417989417989,Thalassiosira_pseudonana
67,GH16,189,AT1G10550.1.1,310,1.1e-25,30,185,54,224,0.82010582010582,Arabidopsis_thaliana
68,GH16,189,AT1G11545.1.1,305,3.1e-22,34,176,52,230,0.751322751322751,Arabidopsis_thaliana
69,GH16,189,AT1G14720.1.1,332,1.7e-22,31,185,43,214,0.814814814814815,Arabidopsis_thaliana
70,GH16,189,AT1G32170.1.1,343,9.4e-22,50,177,53,204,0.671957671957672,Arabidopsis_thaliana
71,GH16,189,AT1G65310.1.1,282,7.4e-24,35,176,47,208,0.746031746031746,Arabidopsis_thaliana
72,GH16,189,AT1G65310.2.1,304,8.5e-24,35,176,69,226,0.746031746031746,Arabidopsis_thaliana
73,GH16,189,AT2G01850.1.1,333,4.4e-26,27,185,34,214,0.835978835978836,Arabidopsis_thaliana
74,GH16,189,AT2G06850.1.1,296,5.4e-25,35,176,52,213,0.746031746031746,Arabidopsis_thaliana
75,GH16,189,AT2G06850.2.1,236,8.4e-24,53,176,6,153,0.650793650793651,Arabidopsis_thaliana
76,GH16,189,AT2G14620.1.1,299,2.9e-22,29,185,46,216,0.825396825396825,Arabidopsis_thaliana
77,GH16,189,AT2G14620.2.1,249,5.6e-21,56,185,21,166,0.682539682539683,Arabidopsis_thaliana
78,GH16,189,AT2G14620.3.1,238,1.9e-20,60,185,14,155,0.661375661375661,Arabidopsis_thaliana
79,GH16,189,AT2G18800.1.1,305,8.3e-25,36,176,46,206,0.740740740740741,Arabidopsis_thaliana
80,GH16,189,AT2G36870.1.1,299,3.9e-18,31,185,55,225,0.814814814814815,Arabidopsis_thaliana
81,GH16,189,AT2G36870.2.1,178,5.3e-13,31,146,55,177,0.608465608465608,Arabidopsis_thaliana
82,GH16,189,AT3G23730.1.1,291,4.6e-24,38,185,48,206,0.777777777777778,Arabidopsis_thaliana
83,GH16,189,AT3G25050.1.1,290,2.6e-25,39,185,59,211,0.772486772486772,Arabidopsis_thaliana
84,GH16,189,AT3G44990.1.1,293,6.8e-20,52,185,67,221,0.703703703703704,Arabidopsis_thaliana
85,GH16,189,AT3G48580.1.1,277,7.6e-21,24,176,35,213,0.804232804232804,Arabidopsis_thaliana
86,GH16,189,AT3G48580.2.1,257,4.3e-09,24,176,35,193,0.804232804232804,Arabidopsis_thaliana
87,GH16,189,AT3G48580.3.1,218,1.6e-18,56,176,8,156,0.634920634920635,Arabidopsis_thaliana
88,GH16,189,AT4G03210.1.1,290,9.8e-22,38,185,50,206,0.777777777777778,Arabidopsis_thaliana
89,GH16,189,AT4G03210.2.1,262,5e-21,35,185,20,178,0.793650793650794,Arabidopsis_thaliana
90,GH16,189,AT4G13080.1.1,295,1.5e-25,34,185,45,216,0.798941798941799,Arabidopsis_thaliana
91,GH16,189,AT4G13090.1.1,292,8.9e-26,35,185,42,210,0.793650793650794,Arabidopsis_thaliana
92,GH16,189,AT4G14130.1.1,289,2.3e-22,36,185,46,207,0.788359788359788,Arabidopsis_thaliana
93,GH16,189,AT4G18990.1.1,357,3.6e-23,50,185,63,223,0.714285714285714,Arabidopsis_thaliana
94,GH16,189,AT4G18990.2.1,283,7.6e-16,89,185,35,149,0.507936507936508,Arabidopsis_thaliana
95,GH16,189,AT4G25810.1.1,286,7.4e-24,35,185,43,205,0.793650793650794,Arabidopsis_thaliana
96,GH16,189,AT4G25820.1.1,287,8e-24,25,185,43,209,0.846560846560847,Arabidopsis_thaliana
97,GH16,189,AT4G28850.1.1,292,6.7e-24,30,177,40,195,0.777777777777778,Arabidopsis_thaliana
98,GH16,189,AT4G30270.1.1,269,1.7e-23,35,185,41,203,0.793650793650794,Arabidopsis_thaliana
99,GH16,189,AT4G30280.1.1,282,5.7e-24,35,176,47,202,0.746031746031746,Arabidopsis_thaliana
100,GH16,189,AT4G30290.1.1,277,5.1e-24,37,175,44,191,0.73015873015873,Arabidopsis_thaliana
101,GH16,189,AT4G37800.1.1,293,4.8e-22,38,187,57,216,0.788359788359788,Arabidopsis_thaliana
102,GH16,189,AT5G13870.1.1,293,1.2e-23,32,176,45,210,0.761904761904762,Arabidopsis_thaliana
103,GH16,189,AT5G13870.2.1,293,1.2e-23,32,176,45,210,0.761904761904762,Arabidopsis_thaliana
104,GH16,189,AT5G13870.3.1,293,1.2e-23,32,176,45,210,0.761904761904762,Arabidopsis_thaliana
105,GH16,189,AT5G48070.1.1,282,3.4e-24,52,176,59,208,0.656084656084656,Arabidopsis_thaliana
